KK,Repeated Random,Hill Climbing,Simulated Annealing,Repeated Random PP,Hill Climbing PP,Simulated Annealing PP
15269,92296617,325991479,341301203,89,45,821
77338,84120838,668261186,2767751168588,296,1012,326
112028,245538594,272106086,2355379633092,6,1546,2
81003,84223865,247091913,125648115,35,125,611
372282,26169742,1047631210,2452926394630,380,3328,422
1256180,34631084,117802816,1601991108710,152,436,1438
855946,113916892,687005630,3549967078290,164,2194,26
11060,490362460,240334698,67467510,148,296,42
47816,140388630,368603182,1831188088548,250,332,212
339355,40382923,424531589,260415815195,75,1529,65
89918,311904548,334399140,710824018228,114,196,526
101894,328438124,250665292,150476166,22,310,450
180419,75585785,83095551,1053397931,301,847,863
700676,1951715984,39282062,687295332,310,118,480
405771,89349109,128826259,518882619,243,99,1
609778,375633710,204006434,187219386,60,2292,896
39164,259670476,366542246,475493805308,58,704,420
10526,277800644,394651184,205622523492,816,232,3166
358455,259245619,683764649,38172273,559,417,83
81528,223301804,467805052,1332133048766,164,86,38
121183,106633173,882584927,120508367645,653,53,11
44672,273207104,398666836,116067464,346,880,12
49547,260596379,59217201,1941788288937,133,661,371
37817,249176431,178987071,1578589174845,31,971,399
156930,269748172,139596866,72782584,368,558,534
376757,130479741,27662433,81613916507,39,175,69
87432,220093152,1145653110,761351525794,22,372,420
95367,96527601,75871049,541643627,55,1377,209
958273,106681399,148176135,158871689,387,237,217
255860,51706856,52705850,403495776712,102,198,1152
20241,202754265,254504361,1205810014279,151,1115,953
87144,60864528,386462472,74584142,78,268,358
37411,210279365,198821425,6048041,109,881,59
450287,486412811,58739511,1153008643063,363,969,11
519975,273043349,77024719,1459785454309,119,687,801
1002393,328326085,531154377,667705226439,291,385,429
26817,518114621,158464465,2676426638715,113,293,407
6044,356746654,200142968,46254200,28,42,358
12156,93279762,175741358,613718544686,154,478,538
202522,551978808,113516414,209688462,46,720,234
21161,446410303,164153309,47513127,27,2409,247
447956,328846382,21893340,664563953552,98,84,18
338855,308743299,145207483,1210844013,277,67,515
19766,55969386,19389108,438787946,68,1308,256
223847,33938921,99333539,200461155,1,1087,591
138782,155919932,1809400408,639427898792,310,950,224
402789,82563835,324294517,1876912251357,781,561,149
141657,68653399,598010465,754874605,483,1485,945
332022,65892460,460605638,1680348915324,22,160,2182430
519026,677741870,8028642,690027813280,38,422,120
