KK,Repeated Random,Hill Climbing,Simulated Annealing,Repeated Random PP,Hill Climbing PP,Simulated Annealing PP
244473,87970267,479660689,617418391,139,809,619
84884,388599116,64090022,26767974,206,100,366
258684,346452394,266278248,420919554,164,384,396
6174,167827416,474556064,120672690,138,300,488
483295,64315015,19701433,177241003,25,1331,395
40663,155202693,78025915,867005015,237,1149,375
168632,116734588,65383618,119895416,340,172,190
51501,56079063,447848611,86428589,159,511,81
775712,100676834,73848338,276347990,112,764,266
171145,136885643,623360859,415262813,61,341,11
58008,393328788,37014528,19382122,434,1224,150
24280,361491808,484961426,205644234,368,148,92
10974,49271278,302736382,245593308,82,1002,410
172136,207342100,470097020,60624376,126,86,486
3585,340416893,116651015,14812321,159,275,47
33432,865642540,410532980,160613914,126,622,1096
143,329411,967433737,372864795,201,163,221
962140,181581092,261866056,127447726,490,722,80
554006,117974366,1240920932,178452762,24,376,2
112412,6489336,794041684,2783760,56,234,34
170727,237001175,225618415,389633141,299,1487,313
279936,28828900,309463910,41130106,402,498,918
296606,26365600,16537204,551501002,284,2744,204
27017,175579403,192076169,1046123043,291,347,89
113370,328204226,32709020,94885590,104,552,4
244482,391954306,182539024,114982318,338,282,196
80211,352541825,11880739,583763855,59,339,1053
970955,287546935,186366763,61247253,17,115,317
38954,152866070,1183412312,72222452,76,114,1600
62896,1442073504,26836576,335548102,106,474,72
78064,116357704,316750910,74219914,46,486,42
247097,112957413,103576333,95842399,327,637,9
28387,440802925,232817921,108422899,291,811,171
82046,49821758,932563088,517656356,230,150,520
889934,122909990,16343172,6650736,180,410,292
431656,116959242,169087112,172472186,132,1004,154
89536,883338848,383142950,71602650,80,1578,306
5762,120802670,10515672,535112268,174,594,38
28200,24722356,92789004,47446672,18,288,40
84184,973345298,103593130,375220032,192,386,178
1108778,588007418,248459030,386999234,200,538,88
766812,515115316,35200062,382247548,12,80,190
29498,695616536,40575632,118055214,372,174,388
327435,295223941,885184889,51363879,181,17,95
778858,534048582,316890746,133753228,136,158,114
144740,383922936,343537194,96599956,16,188,126
101282,401792774,7321098,495829530,64,92,18
20738,273147518,176867886,67728960,398,492,500
249682,613769208,150446866,326700622,300,1250,412
202743,863633311,28468689,476212423,83,215,155
