KK,Repeated Random,Hill Climbing,Simulated Annealing,Repeated Random PP,Hill Climbing PP,Simulated Annealing PP
5.2928924560546875e-05,0.17540407180786133,0.07839703559875488,0.13006901741027832,2.2898740768432617,2.21262526512146,3.3476150035858154
3.933906555175781e-05,0.17427372932434082,0.07609701156616211,0.1266920566558838,2.291266918182373,2.3513269424438477,3.380141019821167
3.886222839355469e-05,0.17631196975708008,0.07664823532104492,0.12858867645263672,2.289137363433838,2.5178329944610596,3.690985918045044
4.410743713378906e-05,0.1730649471282959,0.07654309272766113,0.1264629364013672,2.305732011795044,2.177730083465576,3.34503436088562
3.814697265625e-05,0.17174291610717773,0.0767049789428711,0.12639808654785156,2.3586812019348145,2.1409318447113037,3.377842903137207
3.6716461181640625e-05,0.17232108116149902,0.07682394981384277,0.12759780883789062,2.278062105178833,2.186018228530884,3.6891348361968994
3.695487976074219e-05,0.17067599296569824,0.07574796676635742,0.12511396408081055,2.3055930137634277,2.213493824005127,3.416717052459717
4.029273986816406e-05,0.1710948944091797,0.07661199569702148,0.12643694877624512,2.3334829807281494,2.3094630241394043,3.4252610206604004
4.1961669921875e-05,0.17145490646362305,0.07709503173828125,0.1263117790222168,2.3256382942199707,2.3557169437408447,3.435593843460083
4.601478576660156e-05,0.1689438819885254,0.07536792755126953,0.12427020072937012,2.2825069427490234,2.332263708114624,3.6510369777679443
3.695487976074219e-05,0.16936683654785156,0.07628917694091797,0.12545299530029297,2.307482957839966,2.297632932662964,3.422288179397583
3.719329833984375e-05,0.17246294021606445,0.07819104194641113,0.12659597396850586,2.2684879302978516,2.133108139038086,3.419081926345825
3.695487976074219e-05,0.1692657470703125,0.07616615295410156,0.12893986701965332,2.3469130992889404,2.209606885910034,3.4067163467407227
3.62396240234375e-05,0.1721937656402588,0.07827019691467285,0.13370776176452637,2.309521198272705,2.2331347465515137,3.5883021354675293
3.790855407714844e-05,0.174666166305542,0.07780694961547852,0.12521815299987793,2.316002130508423,2.2062389850616455,3.4324839115142822
4.291534423828125e-05,0.16876602172851562,0.07674217224121094,0.12565875053405762,2.335697889328003,2.26488995552063,3.429396152496338
3.600120544433594e-05,0.16964292526245117,0.07809209823608398,0.1246790885925293,2.3779361248016357,2.4683778285980225,3.645880937576294
4.9114227294921875e-05,0.1818981170654297,0.07779097557067871,0.12800097465515137,2.300565004348755,2.4268758296966553,3.413973093032837
3.886222839355469e-05,0.17286300659179688,0.07741522789001465,0.1281416416168213,2.3504812717437744,2.259005069732666,3.5166149139404297
4.1961669921875e-05,0.17370104789733887,0.07756400108337402,0.12845587730407715,2.29587721824646,2.2323877811431885,3.4140851497650146
3.910064697265625e-05,0.1720290184020996,0.07681012153625488,0.12824487686157227,2.3612771034240723,2.2298967838287354,3.418647050857544
4.00543212890625e-05,0.17349886894226074,0.0790252685546875,0.1272268295288086,2.321726083755493,2.2856879234313965,3.6188700199127197
3.886222839355469e-05,0.17483901977539062,0.07818794250488281,0.12813806533813477,2.3405580520629883,2.297912120819092,3.493297815322876
4.38690185546875e-05,0.17300105094909668,0.07726001739501953,0.1287059783935547,2.3036348819732666,2.2405707836151123,3.5149779319763184
4.57763671875e-05,0.1714012622833252,0.07860302925109863,0.12996578216552734,2.3121893405914307,2.2951316833496094,3.4359219074249268
3.814697265625e-05,0.17419171333312988,0.0773162841796875,0.12783002853393555,2.3000729084014893,2.240525007247925,3.5727179050445557
3.719329833984375e-05,0.17415809631347656,0.07769608497619629,0.12801909446716309,2.366520881652832,2.34660005569458,3.5184969902038574
3.814697265625e-05,0.17570114135742188,0.07828521728515625,0.1305100917816162,2.4148309230804443,2.382534980773926,3.4937851428985596
3.695487976074219e-05,0.1759629249572754,0.0778360366821289,0.1284632682800293,2.3593688011169434,2.4165470600128174,3.448880195617676
4.029273986816406e-05,0.17640185356140137,0.07856321334838867,0.1293649673461914,2.316492795944214,2.3614420890808105,3.4433541297912598
3.814697265625e-05,0.17440390586853027,0.07901906967163086,0.12957406044006348,2.352073907852173,2.231484889984131,3.6487720012664795
3.719329833984375e-05,0.17465901374816895,0.07751989364624023,0.12820816040039062,2.3058018684387207,2.2898640632629395,3.4629600048065186
3.790855407714844e-05,0.17542815208435059,0.07750391960144043,0.13928699493408203,2.3181817531585693,2.244624137878418,3.4962809085845947
3.790855407714844e-05,0.17551398277282715,0.07751083374023438,0.12947726249694824,2.330225944519043,2.2978999614715576,3.462373971939087
4.792213439941406e-05,0.17393112182617188,0.0777578353881836,0.12674403190612793,2.3406789302825928,2.273110866546631,3.6538500785827637
3.910064697265625e-05,0.17436695098876953,0.07797503471374512,0.1298828125,2.345724105834961,2.385004758834839,3.4857749938964844
4.7206878662109375e-05,0.17605805397033691,0.07854819297790527,0.12885594367980957,2.3297221660614014,2.2401108741760254,3.4339351654052734
3.695487976074219e-05,0.17748594284057617,0.07756710052490234,0.1282038688659668,2.3829269409179688,2.278549909591675,3.433310031890869
3.910064697265625e-05,0.17555809020996094,0.07839679718017578,0.1281290054321289,2.3418140411376953,2.2915308475494385,3.5521240234375
3.910064697265625e-05,0.17554688453674316,0.07773280143737793,0.12854385375976562,2.325585126876831,2.3744521141052246,3.6264288425445557
3.886222839355469e-05,0.17428302764892578,0.07802200317382812,0.1287860870361328,2.3740358352661133,2.328902244567871,3.4269309043884277
3.719329833984375e-05,0.17356491088867188,0.07738685607910156,0.12879014015197754,2.34025502204895,2.1884000301361084,3.5336687564849854
3.886222839355469e-05,0.17490601539611816,0.07949018478393555,0.1307389736175537,2.3247158527374268,2.395972967147827,3.676791191101074
3.790855407714844e-05,0.17574119567871094,0.07915973663330078,0.1300210952758789,2.351768970489502,2.2420032024383545,3.4523377418518066
3.790855407714844e-05,0.17412137985229492,0.07721972465515137,0.1278209686279297,2.355842113494873,2.242050886154175,3.4543910026550293
3.886222839355469e-05,0.17314410209655762,0.07721185684204102,0.12778329849243164,2.357423782348633,2.356519937515259,3.5206573009490967
4.029273986816406e-05,0.1762218475341797,0.07761311531066895,0.12767791748046875,2.328819990158081,2.485366106033325,3.8102171421051025
4.601478576660156e-05,0.17662787437438965,0.07871103286743164,0.12924599647521973,2.3572821617126465,2.335840940475464,3.4172239303588867
4.00543212890625e-05,0.17489409446716309,0.07787680625915527,0.12824511528015137,2.386706829071045,2.319364070892334,3.5248167514801025
4.124641418457031e-05,0.17890691757202148,0.07933378219604492,0.13204503059387207,2.35906982421875,2.3444762229919434,3.4760100841522217
